x,y,z,s
-4.174204,0.502573,5.000000,6
-3.346345,0.002017,5.000000,6
-4.172233,-1.501971,5.000000,6
-5.000000,-1.000000,5.000000,6
-4.174833,-0.500228,5.000000,6
-5.000000,1.000000,5.000000,6
-4.174204,0.502573,5.000000,6
-5.000000,0.000000,5.000000,6
-5.000000,1.000000,5.000000,6
-5.000000,0.000000,5.000000,6
-5.000000,0.500424,4.176277,6
-4.000000,-5.000000,5.000000,6
-5.000000,-4.000000,5.000000,6
-3.647301,-4.113734,5.000000,6
-5.000000,-1.000000,5.000000,6
-5.000000,-0.500233,4.176377,6
-5.000000,0.000000,5.000000,6
-5.000000,-0.425959,-0.820748,6
-5.000000,-1.609564,-0.995448,6
-5.000000,-0.838978,-1.671209,6
-2.061684,-5.000000,-3.294908,6
-1.587226,-5.000000,-2.483898,6
-1.019562,-5.000000,-3.338698,6
-0.515674,-0.856184,-5.000000,6
-1.001390,0.021815,-5.000000,6
-1.555106,-0.800534,-5.000000,6
-5.000000,-0.425959,-0.820748,6
-5.000000,-0.838978,-1.671209,6
-5.000000,0.093645,-1.634091,6
-5.000000,1.142572,-1.628115,6
-5.000000,1.686503,-0.877061,6
-5.000000,0.722973,-0.608404,6
-0.618928,-5.000000,0.729086,6
-0.744092,-5.000000,-0.552443,6
-1.636508,-5.000000,0.078913,6
-5.000000,-3.346489,-0.000328,6
-5.000000,-3.342173,-1.015201,6
-5.000000,-2.523995,-0.511485,6
-5.000000,-2.487146,-1.572579,6
-5.000000,-1.609564,-0.995448,6
-5.000000,-2.523995,-0.511485,6
-5.000000,-1.008546,-3.328418,6
-5.000000,-0.484800,-2.487685,6
-5.000000,-1.572334,-2.311583,6
-3.118337,3.225969,-5.000000,6
-2.024377,3.309375,-5.000000,6
-2.494923,4.165986,-5.000000,6
-1.604449,0.997373,-5.000000,6
-1.001390,0.021815,-5.000000,6
-0.498793,0.871788,-5.000000,6
-5.000000,0.003264,-3.345142,6
-5.000000,0.535895,-2.505740,6
-5.000000,-0.484800,-2.487685,6
-5.000000,-1.501115,-4.173771,6
-5.000000,-0.500261,-4.175345,6
-5.000000,-1.008546,-3.328418,6
-3.149809,-3.193562,-5.000000,6
-2.463015,-2.538776,-5.000000,6
-3.275285,-2.058446,-5.000000,6
-2.000000,5.000000,-5.000000,6
-1.501085,4.172999,-5.000000,6
-1.000000,5.000000,-5.000000,6
-2.000000,5.000000,-5.000000,6
-1.000000,5.000000,-5.000000,6
-1.501115,5.000000,-4.173771,6
-5.000000,0.535895,-2.505740,6
-5.000000,0.093645,-1.634091,6
-5.000000,-0.484800,-2.487685,6
4.172926,-1.501985,5.000000,6
4.163891,-2.500265,5.000000,6
3.311834,-2.023781,5.000000,6
-5.000000,-0.425959,-0.820748,6
-5.000000,0.722973,-0.608404,6
-5.000000,-0.039870,0.004370,6
-5.000000,-0.838978,-1.671209,6
